Comunidades y Ciudades Autónomas	General, vivienda nueva y de segunda mano	Índices y tasas	Periodo	Total
Nacional	General	Media anual	2023	147,282
Nacional	General	Media anual	2022	141,675
Nacional	General	Media anual	2021	131,928
Nacional	General	Media anual	2020	127,232
Nacional	General	Media anual	2019	124,597
Nacional	General	Media anual	2018	118,595
Nacional	General	Media anual	2017	111,137
Nacional	General	Media anual	2016	104,664
Nacional	General	Media anual	2015	100,000
Nacional	General	Media anual	2014	96,553
Nacional	General	Media anual	2013	96,266
Nacional	General	Media anual	2012	107,678
Nacional	General	Media anual	2011	124,829
Nacional	General	Media anual	2010	134,745
Nacional	General	Media anual	2009	137,483
Nacional	General	Media anual	2008	147,336
Nacional	General	Media anual	2007	149,599
